CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
1951.4,-17,-17,387260,1,100,91367,Hotel,77.4,166.6,17964.1,1984
112.4,-67.7,-67.7,66030,1,100,90013,Hotel,27.7,52.2,2525.4,1910
265.1,-26.5,-26.5,103854,1,95,91304,Multifamily Housing,38.6,86.9,5575.2,2012
1425.1,-23.5,-23.5,331494,1,55,90067,Office,65,153.9,3583.1,1971
77.6,61.9,61.9,21060,1,100,90048,Multifamily Housing,58.7,118.9,1334.4,1964
7.9,-92.8,-92.8,50781,1,95,91423,Multifamily Housing,2.2,6.2,1425.6,1985
2723,-53.3,-53.3,904927,1,90,90067,Office,40.3,122.3,753.8,1981
487.4,9.7,9.7,163818,1,95,91601,Multifamily Housing,45.8,97.8,103.2,2015
953,-30,-30,260000,1,100,90035,Hotel,59.7,112.8,5957,2005
276.4,13.1,13.1,83582,1,100,91405,Multifamily Housing,50.5,110.4,6062.2,1974
202,44.9,44.9,62480,1,100,90232,Multifamily Housing,48,113.3,2529.2,1984
91.2,-31,-31,44448,1,100,90021,Other,27.1,85,1950.2,1919
19,-37.4,-37.4,7500,1,100,91352,Office,33.4,104.8,148.8,1990
226.6,-11.9,-11.9,71437,1,100,90028,Multifamily Housing,48.2,106.7,3488.6,1980
793.8,230.1,230.1,82134,1,100,90006,Financial Office,137.2,384.1,2069,1975
192.4,352.3,352.3,17755,1,100,90068,Other,160.1,403.8,69523.9,1967
238,-15.2,-15.2,91873,1,95,90045,Immeuble � logements multiples,41.2,80.1,4528.4,2000
27.8,-48.6,-48.6,21134,1,100,90004,Multifamily Housing,18.7,52.2,2143.2,1961
83.5,-30.5,-30.5,40000,1,100,90025,Multifamily Housing,35.2,59.1,1737,1973
196.4,-4.4,-4.4,94505,1,100,91343,Multifamily Housing,29.8,81.5,4252.7,1971
19.2,-92.3,-92.3,101270,2,95,90007,Mixed Use Property,2.5,7.8,4789.9,1924
370.8,-54.6,-54.6,340567,1,100,90731,Distribution Center,14.4,45.1,3990.4,2001
13.5,-90.2,-90.2,37800,1,100,91403,Office,5.1,14.2,172.1,1946
61.3,-49.4,-49.4,44000,1,100,90007,Office,19.8,55.3,154.1,2000
13.1,-94.3,-94.3,101270,2,90,90007,Mixed Use Property,1.8,5.1,1535.5,1924
107.1,-60.4,-60.4,58589,1,100,91040,Multifamily Housing,32,46.8,4528.5,1990
652.3,-40.1,-40.1,172517,1,100,90016,Retail Store,50.2,155.1,3808,2000
126.5,-18.5,-18.5,61080,1,100,90020,Multifamily Housing,32.5,69.1,3328.8,1991
8.3,-90.8,-90.8,30289,1,100,90025,Multifamily Housing,3.9,10.9,994.1,2002
416.3,-30.8,-30.8,212820,13,95,91367,Multifamily Housing,25.8,81,10468.2,1979
573.9,-49.5,-49.5,176888,1,90,91403,Office,44.5,127.6,2811.2,1965
266,-15.7,-15.7,118482,1,95,91304,Multifamily Housing,36.4,69.9,7.6,1976
322,-18.7,-18.7,31200,1,100,90006,Supermarket/Grocery Store,148.5,401.8,2043.4,1964
74.5,-42.7,-42.7,31674,1,100,91324,Multifamily Housing,38.9,69.8,2528,1971
136.6,-28.4,-28.4,106276,1,95,90024,Multifamily Housing,22.7,31.1,6093.6,2008
83.2,-55.5,-55.5,61836,1,100,90064,Retail Store,19.1,53.5,1906,1951
15.3,-79.9,-79.9,10200,1,95,91604,Multifamily Housing,21.2,59.4,1538.9,1972
249.4,-4.9,-4.9,105300,1,100,90036,Multifamily Housing,38.4,73.5,4050,1987
101.6,61.9,61.9,27584,1,100,90048,Multifamily Housing,58.7,118.9,1747.7,1992
36.5,-21.7,-21.7,12912,1,100,90031,Library,40.2,112.4,343.3,1996
259.6,-2.1,-2.1,100000,1,95,90012,Multifamily Housing,39.4,92.1,4504,2007
225.7,1.7,1.7,66918,1,95,90036,Multifamily Housing,60.2,81,4432.2,1951
718.4,-34.8,-34.8,207726,1,95,90038,Multifamily Housing,50.7,123.6,6456.3,2016
219.1,-16.8,-16.8,84276,1,95,90015,Multifamily Housing,39.9,86.1,3561.5,1982
12.6,-59.5,-59.5,27600,1,100,91605,Non-Refrigerated Warehouse,6.7,17.1,47.9,1969
10.9,-89.4,-89.4,24930,2,100,90744,Multifamily Housing,7.3,12.5,1848.1,1990
10.3,-85.2,-85.2,30540,1,100,91423,Multifamily Housing,4.8,13.4,1219.9,1987
67,-26.6,-26.6,85000,1,100,90023,Distribution Center,11.2,31.3,1431.5,2008
42.3,-68.1,-68.1,29763,1,100,91423,Multifamily Housing,24.5,37.6,1244.7,1980
492.1,-50.5,-50.5,132535,1,100,90065,Retail Store,44.3,131,2680.6,2000
3.9,-95.3,-95.3,21812,1,90,90004,Multifamily Housing,2.9,5.5,1078.4,1949
181.4,65.8,65.8,38820,1,100,91601,Movie Theater,66.3,185.8,127.2,2016
2.5,-97.3,-97.3,50000,1,95,90018,Multifamily Housing,0.7,2,2381.8,1965
103.4,-58.8,-58.8,38200,1,100,90016,Office,38.4,107.6,350.8,1950
148.8,-0.3,-0.3,46322,1,90,91345,Office,45.9,126.3,749.9,1988
1463.5,4.7,4.7,226797,1,100,90017,Office,107.6,187.6,2915.9,1972
137.3,32.9,32.9,45705,1,100,90005,Multifamily Housing,46.9,100.9,5217.7,1973
305.9,9.1,9.1,101286,1,90,91601,Multifamily Housing,45.5,103.3,4212.3,2007
47,-19.5,-19.5,22470,1,100,90004,Multifamily Housing,34.7,61.6,1597.8,1924
220.8,-29.3,-29.3,139406,1,95,91605,Multifamily Housing,20.9,65.6,9423.2,1968
743.4,144.7,144.7,127327,1,100,90015,Movie Theater,68.6,208.3,1560.4,2009
46.4,-34.5,-34.5,15628,1,100,90057,Fire Station,44.9,101.1,386.7,1958
23.5,-61.2,-61.2,20000,1,100,90043,K-12 School,17.7,40.2,97.2,1964
50.4,-48.1,-48.1,36525,1,95,90004,Multifamily Housing,19.6,54.9,832.6,1930
836.4,156.1,156.1,112000,1,100,91406,Wholesale Club/Supercenter,98.5,309.2,2192.4,1998
428.3,-27.5,-27.5,160909,4,50,90013,Multifamily Housing,33.8,89.3,5623.7,2010
81.2,-59.1,-59.1,34500,1,85,90015,Strip Mall,33.4,93.5,680,2003
2103.4,49.9,49.9,442107,0,85,90014,Other,66,184.5,7970.5,1908
638.4,87.2,87.2,144285,1,100,91607,Multifamily Housing,68.9,149.7,2463.3,1995
97.3,48.7,48.7,26409,1,100,91604,Multifamily Housing,58.7,118.9,1673.3,1986
33.1,-87.2,-87.2,120135,1,95,91324,Multifamily Housing,3.9,10.9,3701.3,2005
36,-87.3,-87.3,123650,1,95,91606,Multifamily Housing,4.1,11.6,2078.5,1991
21.4,-23.9,-23.9,8546,1,100,90731,Other - Public Services,35.5,93.7,214.5,1990
4.1,-90.7,-90.7,20759,1,95,91403,Multifamily Housing,2.8,7.9,1335.9,2014
30.5,-97.2,-97.2,152529,1,90,90021,Office,2.8,6.2,391.2,1929
55.1,54,54,35000,1,100,90023,Non-Refrigerated Warehouse,22.3,62.6,39.6,1965
2265.1,-30.1,-30.1,554087,1,100,90028,Hotel,66.3,125.4,17950.7,1990
168.6,121.6,121.6,81000,1,10,91340,Non-Refrigerated Warehouse,29.6,82.8,285.8,1980
63.8,-11.3,-11.3,23404,1,100,90006,Multifamily Housing,46,76.9,2097.5,1957
510.4,-2.8,-2.8,158455,8,100,90034,Multifamily Housing,50.6,102.1,5463.8,1991
966.5,-15,-15,281359,1,95,90028,Multifamily Housing,48.8,136.5,6890.1,2016
171.1,-39.3,-39.3,111440,1,100,90002,Multifamily Housing,25.8,43.6,6014.3,2010
73.6,-57.4,-57.4,54602,1,100,90020,Multifamily Housing,23.2,35,1048.8,1963
22.9,-95.1,-95.1,81000,1,15,90014,Other - Mall,3.7,11.7,0.7,1924
14,-83.5,-83.5,67230,1,100,91042,Self-Storage Facility,3.1,7.9,25,1999
83.9,-31.7,-31.7,31190,1,100,90020,Multifamily Housing,45.9,73.9,1636,1930
1260.2,-10.9,-10.9,295750,1,80,90015,Hotel,64,146.5,9257.4,2014
144.6,-16.7,-16.7,52613,1,95,90036,Multifamily Housing,41.7,93,1641.2,1987
427.9,27.3,27.3,71000,1,100,91335,Office,92.7,208.7,691.9,1992
23.1,-4.6,-4.6,8076,1,100,90005,Other - Services,43.6,95.7,610.1,1980
345.7,-20.7,-20.7,94383,1,95,90025,Office,51.8,145,779,1984
842.4,-50.3,-50.3,185795,1,95,91367,Office,53.1,162.1,4216,2001
63.2,-15,-15,23084,1,100,90004,Multifamily Housing,46.5,75.8,1225.5,1929
119.3,-55.2,-55.2,90000,8,100,90272,Other - Education,19.6,49.4,2476.8,1986
951,-43.9,-43.9,232242,1,80,91367,Office,51.1,139.3,3271.7,1990
24.8,-51.8,-51.8,38680,2,100,91605,Distribution Center,9.1,25.5,342.7,1979
94.1,56.6,56.6,25540,1,100,90027,Multifamily Housing,58.7,118.9,1618.2,1963
136.4,-0.3,-0.3,21506,1,100,90057,Office,90,252,665.8,1960
53.2,-8.1,-8.1,19613,1,100,91605,Non-Refrigerated Warehouse,39,105.4,189.3,1984
334.3,1.2,1.2,60000,5,100,90004,K-12 School,26.4,73.8,2829.6,1929
45.4,44.2,44.2,8323,1,100,91356,Fire Station,85.9,180.1,878.6,1960
1185.8,32.9,32.9,115419,1,100,90027,Hospital (General Medical & Surgical),135.5,425.4,8438.8,1989
221.8,-2.5,-2.5,75117,1,100,90057,Multifamily Housing,42.5,108.6,2576.9,2006
1,-99.9,-99.9,170000,4,100,90003,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",0.1,0.1,153.1,1945
213.5,-17.4,-17.4,85946,1,95,91601,Multifamily Housing,40,78.3,3949.7,2008
13,-84.4,-84.4,65160,1,100,91324,Self-Storage Facility,2.9,7.4,219,1999
71.1,-19.3,-19.3,82000,1,85,90015,Non-Refrigerated Warehouse,11.4,35.9,333.6,2004
20.6,-34.7,-34.7,25320,1,100,91331,Non-Refrigerated Warehouse,11.6,32.4,661.3,1959
667.2,-16.4,-16.4,286000,1,100,90015,Performing Arts,35.9,93.6,2211.2,2007
1241.7,13.3,13.3,354309,1,100,90014,Multifamily Housing,50.4,129,21380.6,2015
172.2,84.7,84.7,37006,1,100,91304,Multifamily Housing,72.4,157.4,664.4,1985
41.3,-68.7,-68.7,108327,8,95,91345,Self-Storage Facility,5.3,14.9,660.8,2002
19.9,-76.7,-76.7,26695,1,100,90293,Multifamily Housing,10.6,29.6,1166.9,2009
83.6,-25.3,-25.3,33289,1,95,91356,Multifamily Housing,41.6,74.4,2220.2,1977
16138.8,41.1,41.1,814954,1,100,90027,Hospital (General Medical & Surgical),280.9,598.3,57009,2009
167.8,3.9,3.9,119600,1,50,91352,Non-Refrigerated Warehouse,20.3,51.4,181.3,1978
152.8,2.2,2.2,56424,1,95,90038,Multifamily Housing,43.6,85.6,3091,1988
50.4,-7.9,-7.9,17644,1,100,91602,Multifamily Housing,45.7,91.6,729.4,1978
6,-97.4,-97.4,203914,1,95,90036,Self-Storage Facility,0.4,1.2,171.9,2009
210,37.8,37.8,33137,1,100,90025,Office,90,251.9,240.3,1958
1034.4,-5.5,-5.5,179860,6,85,91602,Hotel,90.8,180.8,13992.7,1972
19.6,-85,-85,50548,1,100,90013,Mixed Use Property,5.1,16.1,410.9,1911
1085.7,-18.1,-18.1,319053,1,90,90045,Hotel,44.9,140.9,25332.3,1963
61.2,-58.8,-58.8,74901,2,100,90007,Multifamily Housing,11.7,32,2444.6,1964
344.3,-69.6,-69.6,331656,4,80,90029,Other - Education,13.7,43,1360,1970
110.2,-5.9,-5.9,40000,1,95,91406,Office,39.1,109.5,348,1979
691.7,423.3,423.3,44448,1,100,90021,Other,205.2,644.3,1487.1,1919
23.7,-63.3,-63.3,53542,1,100,91403,Self-Storage Facility,6.3,17.6,47,1994
105.2,46.4,46.4,22615,1,100,91605,Residential Care Facility,72.4,157.4,406,1965
107.5,268.3,268.3,23095,1,100,91304,Non-Refrigerated Warehouse,72.4,157.4,414.6,1998
21.2,-73.4,-73.4,91745,1,100,91411,Non-Refrigerated Warehouse,2.7,8.4,228,2009
52.7,-20,-20,15250,1,100,90002,Fire Station,50.7,123.4,307.5,2006
1960.1,-28.2,-28.2,218728,1,90,90028,Office,110,322.7,2994.8,1968
121.3,17.1,17.1,44400,1,100,90014,Multifamily Housing,43.3,88.9,2741.6,1909
160.7,39.5,39.5,43614,1,100,91316,Multifamily Housing,58.7,118.9,2763.4,1968
343.9,36.2,36.2,98056,1,100,90004,Multifamily Housing,61.5,88.7,3055.1,1930
37.3,-43,-43,34190,1,100,90020,Multifamily Housing,15.5,43.3,1986.2,1929
209.5,-66.4,-66.4,112113,1,80,91403,Office,25.3,74.8,2012.8,1976
66.8,1,1,26540,1,90,90016,Multifamily Housing,43,68.6,909.8,1950
153.9,-44.4,-44.4,52797,1,95,91423,Office,38.4,120.7,441.4,1985
236.8,55.5,55.5,42000,1,100,90029,Residence Hall/Dormitory,97.9,147.1,8534.6,1928
15.8,-78.9,-78.9,30300,1,10,90007,Office,7.8,19.1,134.3,1968
177.7,-25.9,-25.9,84786,1,95,90034,Multifamily Housing,33.2,65.3,3903.3,1969
107.5,-41.8,-41.8,56000,1,95,90064,Multifamily Housing,31.2,59.2,3179.9,1999
310,-39.4,-39.4,328461,1,95,91303,Multifamily Housing,13,37,7024.2,2009
30.6,-39.4,-39.4,23619,1,100,91303,Multifamily Housing,18.4,51.6,1253.9,1960
64.5,69.9,69.9,10500,1,100,90064,Library,87.2,244.1,166.8,2002
39.3,-49.6,-49.6,67819,1,100,91605,Self-Storage Facility,7.6,24,643,1985
2.6,-99.5,-99.5,183634,1,95,90020,Multifamily Housing,0.2,0.6,4679.7,1972
86.5,-38.9,-38.9,52342,1,100,90057,Residential Care Facility,23.5,65.7,3284.8,1977
225,1.6,1.6,69410,1,95,91303,Multifamily Housing,53,98.7,4343.9,1988
220.8,-56.3,-56.3,210099,1,95,91605,Multifamily Housing,13.9,43.5,9423.2,1986
118,-27.4,-27.4,42284,1,100,91352,Multifamily Housing,46.8,80,3945.2,1990
230.2,-85.9,-85.9,632192,3,100,91367,Multifamily Housing,5.2,13.7,3325.8,1968
108.6,8.4,8.4,43293,1,100,90004,Multifamily Housing,42.2,71.2,2298.4,1963
3181.9,-49.4,-49.4,810474,1,80,90067,Office,63.9,129.5,8620.7,2003
34.2,-36.6,-36.6,11764,1,100,91042,Fire Station,44.2,97.8,402.5,1950
74.6,-10.2,-10.2,72216,1,100,90016,Self-Storage Facility,13.6,42.8,112.2,1952
300.1,-0.5,-0.5,52800,1,90,90064,Office,81.4,210.5,8.4,1984
315.3,-4.4,-4.4,113276,1,95,90046,Multifamily Housing,42.3,93.8,3543.5,1989
45.6,-56.2,-56.2,37629,1,100,90025,Multifamily Housing,21,31.6,1135.9,1987
284.4,13.6,13.6,89133,1,100,91325,Multifamily Housing,50.3,105.1,7039.2,1986
88.9,-17.2,-17.2,35036,1,100,91335,Multifamily Housing,41,79.2,1687.6,1988
42.2,-76.7,-76.7,33263,1,95,91403,Multifamily Housing,23.1,28.4,1604.2,1963
78.7,-1,-1,29912,1,100,91356,Multifamily Housing,42,84.4,1907.5,1979
1084.6,28.1,28.1,84107,1,70,90048,Office,101.5,265.5,3319.9,1965
90.9,-71.8,-71.8,268022,1,100,90066,Self-Storage Facility,4.8,13.5,58,2001
80.7,-24,-24,35550,1,95,91325,Multifamily Housing,36.9,70.4,1504.5,1985
5.6,-91.3,-91.3,21528,1,100,90020,Multifamily Housing,3.7,10.3,2047.6,1973
117.6,25.8,25.8,26602,1,100,91367,Office,64.5,168.3,771,1990
1797.9,7.4,7.4,176703,1,100,90033,Laboratory,159,341.8,2744.6,2008
55.5,-51.5,-51.5,30720,1,90,91405,Office,25.7,71.8,372.4,1956
49.5,-66,-66,51000,1,100,91325,Multifamily Housing,15.8,29.7,3334.9,1991
20.9,-87,-87,139868,1,100,91406,Self-Storage Facility,2,6.2,698,1995
109.4,84.7,84.7,23515,1,100,91342,Multifamily Housing,72.4,157.4,421.9,1972
274.5,-11.4,-11.4,142857,1,95,90017,Multifamily Housing,30.2,63.9,3369.2,2006
306.6,-4.8,-4.8,102932,2,95,90292,Multifamily Housing,47.6,91.3,4453.2,2003
54.9,-80.6,-80.6,59799,0,100,90024,Mixed Use Property,13.4,35,841.8,1937
170.6,6,6,66740,1,95,90044,Multifamily Housing,38.7,86.9,2159.6,1990
49.7,-52.8,-52.8,30000,1,100,91311,Manufacturing/Industrial Plant,23.5,65.9,370.3,1973
260.4,-41.2,-41.2,74626,1,95,90049,Office,51.4,130.7,1070.6,1981
163.7,-52.7,-52.7,90684,1,100,90033,Multifamily Housing,29.3,55.9,2999.7,2016
314.7,-3.4,-3.4,70082,1,100,91311,Office,65.8,160.6,311.9,1980
128.1,537.5,537.5,8500,1,100,90065,Other - Recreation,200.6,617.2,5966.5,1978
56,-76.8,-76.8,95894,2,95,90037,Multifamily Housing,7.7,24.2,2298.7,2008
73.6,-32.9,-32.9,35954,1,95,90025,Multifamily Housing,33.7,61.6,1499.1,1989
64.9,-56.7,-56.7,115541,1,75,90021,Non-Refrigerated Warehouse,7.4,23.3,148.9,1925
75,7.1,7.1,27174,1,90,91364,Retail Store,39.4,108.7,1111.6,1991
338.1,-18.4,-18.4,159500,1,95,91436,Multifamily Housing,33.5,66.3,4909.5,2010
364.7,-32.7,-32.7,270800,1,95,91367,Multifamily Housing,19.1,53.5,14666.3,2003
47.5,-50.7,-50.7,21680,1,100,90036,Multifamily Housing,37.8,58.2,567.4,1930
93.7,37.8,37.8,30267,1,100,90272,Mixed Use Property,43.9,123,626.4,1986
29.8,-63.1,-63.1,20300,1,100,91324,Multifamily Housing,27.1,31.5,1300.3,1968
459.2,33,33,107020,1,100,90502,Distribution Center,56.6,177.7,1661.3,2001
184,96.6,96.6,23726,1,95,91325,Multifamily Housing,122.1,256.7,1383.9,1985
709.2,7.7,7.7,192306,1,95,90036,Multifamily Housing,64.6,93.6,4046.2,1951
1663.7,-13.5,-13.5,778666,1,100,90012,Multifamily Housing,33.6,70.7,27663.7,1980
131.8,38.2,38.2,71424,1,100,91331,Distribution Center,28.4,63.9,2962.3,1973
118.8,-39.5,-39.5,75909,1,100,90020,Multifamily Housing,26,45.9,1725,1968
1188.4,34.4,34.4,191715,1,100,90065,Office,88,246.4,8047.2,1972
4.5,-96.8,-96.8,47308,1,100,90068,Multifamily Housing,1.4,3.8,3609.1,1925
384.1,-21.8,-21.8,137501,1,95,90015,Multifamily Housing,42.5,93.8,4494.3,2014
43.3,-11.7,-11.7,44160,1,100,91411,Non-Refrigerated Warehouse,14.2,37.7,89,1965
81.2,-68.2,-68.2,193967,1,100,90064,Self-Storage Facility,4.8,15.2,122,2001
221.2,-12.3,-12.3,107612,1,100,90019,Multifamily Housing,33.4,63.5,2766.3,1982
19.7,-79.6,-79.6,84000,0,90,90038,Self-Storage Facility,3.1,9.7,96.9,1923
5.7,-87.7,-87.7,71565,1,100,90001,Self-Storage Facility,3.8,5.9,100,2009
214.7,-7.5,-7.5,73300,1,95,91344,Multifamily Housing,48.3,87.4,5271.5,1986
2097.3,-36.6,-36.6,615647,1,90,90017,Office,48.4,135.4,10697.9,1988
874.1,-29.6,-29.6,231893,1,100,91436,Office,57.3,133.6,2641.4,1970
42.9,-33.7,-33.7,29350,1,100,90057,Multifamily Housing,22.6,50.3,1931.5,1928
116.7,33.3,33.3,28062,1,60,90034,Multifamily Housing,70.2,116.9,623.5,1976
151.8,-60.9,-60.9,125700,2,95,91367,Multifamily Housing,15.9,50,876.7,1965
374.3,-19,-19,80441,1,100,90015,Medical Office,72.4,157.4,1444.2,1989
13,-93.1,-93.1,74930,1,95,91335,Multifamily Housing,2.5,6.9,4744.3,1969
25.9,-12.8,-12.8,9354,1,100,90026,Fire Station,39.6,108.9,526.6,1953
589.2,-31.6,-31.6,131095,1,100,91405,Retail Store,59.6,184.7,2360,2000
69.4,-57.6,-57.6,55050,1,85,90011,Other,16.6,52.2,398.8,1959
162.6,-11.6,-11.6,72175,1,100,90020,Multifamily Housing,37.2,67,3028.9,1966
15.9,-92.2,-92.2,176363,1,90,90039,Self-Storage Facility,1.2,3.7,481.5,1981
24.7,-50.4,-50.4,20400,1,100,91405,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",17.2,48.1,175.8,1976
205.4,-1.3,-1.3,76900,1,95,90034,Multifamily Housing,42.2,84,2707.9,1987
22.9,-76,-76,79139,1,90,91605,Self-Storage Facility,4.1,11.5,134.2,2008
178.9,36,36,22509,1,100,90025,Hotel,125.6,261,2035.2,1994
5483.9,-45.4,-45.4,1327532,1,60,90017,Office,47.6,149.5,7825.5,1974
328.7,-11.2,-11.2,113276,1,95,90046,Multifamily Housing,44.5,96.3,4.7,1989
10.7,-46.6,-46.6,20000,1,100,90021,Non-Refrigerated Warehouse,7.6,21.2,0.8,1959
27.6,5.6,5.6,11974,1,95,90045,Non-Refrigerated Warehouse,37,73,147.4,1972
139.3,126.1,126.1,17964,1,100,90045,Police Station,116,282.4,577.9,1960
17.3,-3.4,-3.4,26266,1,100,90032,Non-Refrigerated Warehouse,9.9,23.5,512.4,1974
132.2,2.2,2.2,48902,1,95,91604,Multifamily Housing,44.2,82.2,989.9,1987
277,-19.1,-19.1,99792,1,100,91311,Non-Refrigerated Warehouse,36.6,114.9,911.9,1975
8.6,-91.5,-91.5,34000,1,100,90046,Multifamily Housing,3.6,10,810.7,1964
77.6,-73.6,-73.6,206055,1,100,90501,Distribution Center,5.3,15,144.3,2000
175.2,-7.8,-7.8,59100,1,100,90027,Multifamily Housing,44.2,103.1,2578.5,1990
3.4,-95.2,-95.2,23613,1,95,91604,Multifamily Housing,2,5.7,674.1,1960
68.9,-35.3,-35.3,37309,1,100,91342,Office,26.2,73.4,599.9,1987
134.2,-28.9,-28.9,67676,1,100,90017,Multifamily Housing,31.3,65.1,2848.7,1924
702,-30.6,-30.6,151500,1,100,91344,Retail Store,62.4,187,6576,2007
520.7,-4.5,-4.5,104000,1,75,90035,Hotel,66,207.3,9360.4,1963
341.8,-80.8,-80.8,203657,1,100,91335,Strip Mall,29.1,43.9,7924.9,1996
42.4,-44.6,-44.6,13408,1,100,90021,Multifamily Housing,50.5,101.8,825.8,1993
208.8,-43.1,-43.1,138584,1,95,91402,Multifamily Housing,21.4,59.9,9824.2,1988
68.9,-63.4,-63.4,156464,1,100,90065,Self-Storage Facility,6.3,17.5,41,1978
59.4,-61,-61,148000,1,95,91402,Distribution Center,6.3,13.5,2013,1992
75.5,-61.8,-61.8,65000,3,100,90028,Retail Store,16.6,45.8,199,1930
86.9,19.8,19.8,31722,1,100,90017,Multifamily Housing,46.5,75.8,1684.1,1922
2763.9,-41.8,-41.8,640095,1,95,90067,Office,61.8,160.3,9427.7,1971
46.6,-77.6,-77.6,69821,5,100,90036,K-12 School,9.9,24.6,638,1966
68.6,-19.9,-19.9,25048,1,100,90029,Multifamily Housing,46.5,75.8,1329.8,1928
283.5,-8,-8,91052,1,95,90024,Multifamily Housing,52,90.2,6247,1987
50.8,-25.4,-25.4,22932,1,100,90021,Multifamily Housing,31.5,88.1,458.6,1942
270.2,7.2,7.2,96280,1,100,91607,Multifamily Housing,45.6,86.8,5036.6,1987
167.7,-12.5,-12.5,64189,1,100,91316,Multifamily Housing,43.9,74.4,4435.9,1964
32.8,-44.2,-44.2,21252,1,100,90744,Multifamily Housing,21.9,61.4,2497.7,1957
30.2,-77.6,-77.6,112043,1,100,90292,Self-Storage Facility,3.8,10.7,54,2009
259.7,0.8,0.8,63779,1,100,90094,Office,57.8,161.9,5807.1,2002
584.6,108.3,108.3,31286,3,90,90036,Multifamily Housing,327,476.6,3147.9,2002
296,-38.2,-38.2,153481,1,95,91607,Multifamily Housing,31.2,60.2,5794.4,2014
57.8,-17.5,-17.5,21118,1,100,90018,Multifamily Housing,46.5,75.8,1121.1,2010
730.1,-29.4,-29.4,180753,1,100,90064,Office,54.9,161.1,1919.9,2000
124.7,107.3,107.3,26811,1,100,90037,Multifamily Housing,72.4,157.4,481.3,1998
259.1,8.7,8.7,80494,1,100,90015,Multifamily Housing,51.8,101.4,2835.9,2004
280.5,-67.2,-67.2,760086,1,100,90731,Distribution Center,5.2,14.7,2904.9,2001
16,-80.5,-80.5,34857,1,95,90046,Multifamily Housing,6.5,18.2,1326.8,1991
37.5,-88.7,-88.7,89748,1,20,91311,Office,5.7,16.5,1526.2,1984
67.9,-44.4,-44.4,53008,1,90,91340,Mixed Use Property,18.5,49.6,772,1986
30.1,-18.7,-18.7,8200,1,100,90023,Fire Station,55.3,125.5,183.6,2010
150.5,-39.1,-39.1,78125,1,90,90028,Multifamily Housing,31.5,58.4,3999.8,1990
35.7,-85.1,-85.1,77364,1,100,90017,Multifamily Housing,6.1,19.1,5158.8,1998
143.4,-62.5,-62.5,104061,1,45,90731,Hotel,23.2,39.1,2983.8,1979
324.9,-32.5,-32.5,203286,1,95,91604,Multifamily Housing,26.3,47.9,3177,2002
224.5,-23.4,-23.4,45462,1,90,90038,Multifamily Housing,80.1,153.2,6790.8,1929
101.2,-37.1,-37.1,63821,1,95,91605,Multifamily Housing,24.6,53.8,5926.1,1985
284.6,-69.4,-69.4,150740,1,100,91324,Strip Mall,26.3,72.8,1899.7,1995
657.5,250,250,42000,1,100,90068,Office,245,524,4897.7,1956
34.3,-26.8,-26.8,11600,1,100,90018,Fire Station,48.1,91.4,356.1,2010
113.1,-7.1,-7.1,50762,1,95,90293,Multifamily Housing,36.6,67.2,1410.3,2004
2795.1,-52,-52,895000,1,80,90064,Enclosed Mall,36,113,12633.1,1985
64.3,122.9,122.9,11988,1,100,90026,Other - Recreation,72.3,215.8,2676.5,2006
173.4,-39.1,-39.1,104610,3,95,91343,Multifamily Housing,23.5,65.9,7513.4,1970
519.5,-51.8,-51.8,182526,1,100,90015,Office,46.8,85.6,982.9,1927
423.5,47.2,47.2,140000,1,100,90017,Other - Entertainment/Public Assembly,39.9,125.2,606.8,1998
71.9,-23.4,-23.4,65736,1,100,90066,Non-Refrigerated Warehouse,14.7,44.3,118.2,1972
337.9,-9.5,-9.5,159500,1,95,91436,Multifamily Housing,34.5,65.3,4593,2010
137.7,-45.3,-45.3,81104,1,95,90069,Multifamily Housing,28.8,47.3,2399.6,1990
108.5,-23.8,-23.8,62980,1,95,91316,Multifamily Housing,22.7,71.3,2345.9,1969
80.6,-66.8,-66.8,60137,1,100,91402,Multifamily Housing,22,39.1,2434.6,2009
2.7,-96.5,-96.5,25390,1,90,90014,Retail Store,1.5,4.2,770.9,1993
72,-10.3,-10.3,69845,1,100,91324,Self-Storage Facility,13.6,42.7,181,1986
14.2,-38.4,-38.4,30080,1,100,91311,Distribution Center,6.9,17.9,346,1978
1616.2,-16.1,-16.1,351511,1,100,90045,Hotel,64,141.7,12879.7,1983
40.7,6.6,6.6,10578,1,100,90019,Library,54.7,153.1,115.6,1996
120.6,58,58,29030,1,100,90028,Multifamily Housing,64.6,141.1,698.2,1937
0,-100,-100,67000,1,5,90014,Office,0,0,134.6,1919
177.6,537.7,537.7,11658,1,100,91342,Other - Recreation,204.4,617.4,23984,1974
360.4,-28.3,-28.3,189745,1,95,90017,Multifamily Housing,30.2,61.4,5646.3,2008
